,year,state,current dollars,GDP,GDP_area
265,2000,Georgia,2001,295539.0,Southeast
266,2000,Hawaii,2001,42524.0,Far West
267,2000,Iowa,2001,89654.0,Plains
268,2000,Idaho,2001,36755.0,Rocky Mountain
269,2000,Illinois,2001,466312.0,Great Lakes
270,2000,Indiana,2001,189778.0,Great Lakes
271,2000,Kansas,2001,84526.0,Plains
272,2000,Kentucky,2001,117233.0,Southeast
273,2000,Louisiana,2001,144984.0,Southeast
274,2000,Massachusetts,2001,283072.0,New England
275,2000,Maryland,2001,185049.0,Mideast
276,2000,Maine,2001,36276.0,New England
277,2000,Michigan,2001,323717.0,Great Lakes
278,2000,Minnesota,2001,186097.0,Plains
279,2000,Missouri,2001,177104.0,Plains
280,2000,Mississippi,2001,66162.0,Southeast
281,2000,Montana,2001,21702.0,Rocky Mountain
282,2000,North Carolina,2001,272934.0,Southeast
283,2000,North Dakota,2001,18556.0,Plains
284,2000,Nebraska,2001,55649.0,Plains
285,2000,New Hampshire,2001,47385.0,New England
286,2000,New Jersey,2001,357453.0,Mideast
287,2000,New Mexico,2001,52592.0,Southwest
288,2000,Nevada,2001,75533.0,Far West
289,2000,New York,2001,798382.0,Mideast
290,2000,Ohio,2001,370617.0,Great Lakes
291,2000,Oklahoma,2001,90942.0,Southwest
292,2000,Oregon,2001,121383.0,Far West
293,2000,Pennsylvania,2001,399488.0,Mideast
294,2000,Rhode Island,2001,36086.0,New England
295,2000,South Carolina,2001,112197.0,Southeast
296,2000,South Dakota,2001,23452.0,Plains
297,2000,Tennessee,2001,177401.0,Southeast
298,2000,Texas,2001,738270.0,Southwest
299,2000,Utah,2001,68430.0,Rocky Mountain
300,2000,Virginia,2001,260837.0,Southeast
301,2000,Vermont,2001,18124.0,New England
302,2000,Washington,2001,218095.0,Far West
303,2000,Wisconsin,2001,173016.0,Great Lakes
304,2000,West Virginia,2001,40926.0,Southeast
305,2000,Wyoming,2001,19113.0,Rocky Mountain
306,2001,Alaska,2004,27358.0,Far West
307,2001,Alabama,2004,118263.0,Southeast
308,2001,Arkansas,2004,68574.0,Southeast
309,2001,Arizona,2004,164263.0,Southwest
310,2001,California,2004,1307880.0,Far West
311,2001,Colorado,2004,177526.0,Rocky Mountain
312,2001,Connecticut,2004,165434.0,New England
313,2001,District of Columbia,2004,63223.0,Mideast
314,2001,Delaware,2004,45049.0,Mideast
315,2001,Florida,2004,496861.0,Southeast
316,2001,Georgia,2004,299507.0,Southeast
317,2001,Hawaii,2004,41720.0,Far West
318,2001,Iowa,2004,92891.0,Plains
319,2001,Idaho,2004,36571.0,Rocky Mountain
320,2001,Illinois,2004,476851.0,Great Lakes
321,2001,Indiana,2004,195769.0,Great Lakes
322,2001,Kansas,2004,87206.0,Plains
323,2001,Kentucky,2004,116545.0,Southeast
324,2001,Louisiana,2004,137567.0,Southeast
325,2001,Massachusetts,2004,283422.0,New England
326,2001,Maryland,2004,192425.0,Mideast
327,2001,Maine,2004,37094.0,New England
328,2001,Michigan,2004,335793.0,Great Lakes
329,2001,Minnesota,2004,190567.0,Plains
330,2001,Missouri,2004,182048.0,Plains
331,2001,Mississippi,2004,65725.0,Southeast
332,2001,Montana,2004,22636.0,Rocky Mountain
333,2001,North Carolina,2004,287281.0,Southeast
334,2001,North Dakota,2004,18800.0,Plains
335,2001,Nebraska,2004,57771.0,Plains
336,2001,New Hampshire,2004,44394.0,New England
337,2001,New Jersey,2004,362336.0,Mideast
338,2001,New Mexico,2004,50908.0,Southwest
339,2001,Nevada,2004,78092.0,Far West
340,2001,New York,2004,797145.0,Mideast
341,2001,Ohio,2004,374771.0,Great Lakes
342,2001,Oklahoma,2004,92609.0,Southwest
343,2001,Oregon,2004,111352.0,Far West
344,2001,Pennsylvania,2004,407880.0,Mideast
345,2001,Rhode Island,2004,35489.0,New England
346,2001,South Carolina,2004,117779.0,Southeast
347,2001,South Dakota,2004,24104.0,Plains
348,2001,Tennessee,2004,180232.0,Southeast
349,2001,Texas,2004,751405.0,Southwest
350,2001,Utah,2004,70490.0,Rocky Mountain
351,2001,Virginia,2004,277214.0,Southeast
352,2001,Vermont,2004,18656.0,New England
353,2001,Washington,2004,225656.0,Far West
354,2001,Wisconsin,2004,182373.0,Great Lakes
355,2001,West Virginia,2004,43512.0,Southeast
356,2001,Wyoming,2004,19138.0,Rocky Mountain
357,2002,Alaska,2004,29741.0,Far West
358,2002,Alabama,2004,123763.0,Southeast
359,2002,Arkansas,2004,71221.0,Southeast
360,2002,Arizona,2004,173052.0,Southwest
361,2002,California,2004,1363577.0,Far West
362,2002,Colorado,2004,181246.0,Rocky Mountain
363,2002,Connecticut,2004,167235.0,New England
364,2002,District of Columbia,2004,67176.0,Mideast
365,2002,Delaware,2004,46991.0,Mideast
366,2002,Florida,2004,522340.0,Southeast
367,2002,Georgia,2004,307443.0,Southeast
368,2002,Hawaii,2004,43806.0,Far West
369,2002,Iowa,2004,97810.0,Plains
370,2002,Idaho,2004,38276.0,Rocky Mountain
371,2002,Illinois,2004,486182.0,Great Lakes
372,2002,Indiana,2004,203296.0,Great Lakes
373,2002,Kansas,2004,89875.0,Plains
374,2002,Kentucky,2004,121633.0,Southeast
375,2002,Louisiana,2004,134360.0,Southeast
376,2002,Massachusetts,2004,287191.0,New England
377,2002,Maryland,2004,202840.0,Mideast
378,2002,Maine,2004,39027.0,New England
379,2002,Michigan,2004,347014.0,Great Lakes
380,2002,Minnesota,2004,199271.0,Plains
381,2002,Missouri,2004,187090.0,Plains
382,2002,Mississippi,2004,68550.0,Southeast
383,2002,Montana,2004,23913.0,Rocky Mountain
384,2002,North Carolina,2004,301254.0,Southeast
385,2002,North Dakota,2004,20007.0,Plains
386,2002,Nebraska,2004,60571.0,Plains
387,2002,New Hampshire,2004,46106.0,New England
388,2002,New Jersey,2004,377824.0,Mideast
389,2002,New Mexico,2004,53414.0,Southwest
390,2002,Nevada,2004,82389.0,Far West
391,2002,New York,2004,802866.0,Mideast
392,2002,Ohio,2004,385657.0,Great Lakes
393,2002,Oklahoma,2004,95343.0,Southwest
394,2002,Oregon,2004,115113.0,Far West
395,2002,Pennsylvania,2004,424820.0,Mideast
396,2002,Rhode Island,2004,37040.0,New England
397,2002,South Carolina,2004,122274.0,Southeast
398,2002,South Dakota,2004,25826.0,Plains
399,2002,Tennessee,2004,191394.0,Southeast
400,2002,Texas,2004,775459.0,Southwest
401,2002,Utah,2004,73646.0,Rocky Mountain
402,2002,Virginia,2004,288840.0,Southeast
403,2002,Vermont,2004,19419.0,New England
404,2002,Washington,2004,233971.0,Far West
405,2002,Wisconsin,2004,189508.0,Great Lakes
406,2002,West Virginia,2004,45259.0,Southeast
407,2002,Wyoming,2004,20326.0,Rocky Mountain
408,2003,Alaska,2004,31704.0,Far West
409,2003,Alabama,2004,130792.0,Southeast
410,2003,Arkansas,2004,74540.0,Southeast
411,2003,Arizona,2004,183272.0,Southwest
412,2003,California,2004,1438134.0,Far West
413,2003,Colorado,2004,188397.0,Rocky Mountain
414,2003,Connecticut,2004,174085.0,New England
415,2003,District of Columbia,2004,70668.0,Mideast
416,2003,Delaware,2004,50486.0,Mideast
417,2003,Florida,2004,553709.0,Southeast
418,2003,Georgia,2004,321199.0,Southeast
419,2003,Hawaii,2004,46671.0,Far West
420,2003,Iowa,2004,102400.0,Plains
421,2003,Idaho,2004,40358.0,Rocky Mountain
422,2003,Illinois,2004,499731.0,Great Lakes
423,2003,Indiana,2004,213342.0,Great Lakes
424,2003,Kansas,2004,93263.0,Plains
425,2003,Kentucky,2004,128315.0,Southeast
426,2003,Louisiana,2004,144321.0,Southeast
427,2003,Massachusetts,2004,297113.0,New England
428,2003,Maryland,2004,213073.0,Mideast
429,2003,Maine,2004,40829.0,New England
430,2003,Michigan,2004,359440.0,Great Lakes
431,2003,Minnesota,2004,210184.0,Plains
432,2003,Missouri,2004,193828.0,Plains
433,2003,Mississippi,2004,71872.0,Southeast
434,2003,Montana,2004,25584.0,Rocky Mountain
435,2003,North Carolina,2004,315456.0,Southeast
436,2003,North Dakota,2004,21597.0,Plains
437,2003,Nebraska,2004,65399.0,Plains
438,2003,New Hampshire,2004,48202.0,New England
439,2003,New Jersey,2004,394040.0,Mideast
440,2003,New Mexico,2004,57078.0,Southwest
441,2003,Nevada,2004,89711.0,Far West
442,2003,New York,2004,838035.0,Mideast
443,2003,Ohio,2004,398918.0,Great Lakes
444,2003,Oklahoma,2004,101168.0,Southwest
445,2003,Oregon,2004,119973.0,Far West
446,2003,Pennsylvania,2004,443709.0,Mideast
447,2003,Rhode Island,2004,39363.0,New England
448,2003,South Carolina,2004,127963.0,Southeast
449,2003,South Dakota,2004,27337.0,Plains
450,2003,Tennessee,2004,203071.0,Southeast
451,2003,Texas,2004,821943.0,Southwest
452,2003,Utah,2004,76674.0,Rocky Mountain
453,2003,Virginia,2004,304116.0,Southeast
454,2003,Vermont,2004,20544.0,New England
455,2003,Washington,2004,245143.0,Far West
456,2003,Wisconsin,2004,198096.0,Great Lakes
457,2003,West Virginia,2004,46726.0,Southeast
458,2003,Wyoming,2004,22279.0,Rocky Mountain
459,2004,Alaska,2007,35102.0,Far West
460,2004,Alabama,2007,141527.0,Southeast
461,2004,Arkansas,2007,82137.0,Southeast
462,2004,Arizona,2007,193448.0,Southwest
463,2004,California,2007,1519443.0,Far West
464,2004,Colorado,2007,197329.0,Rocky Mountain
465,2004,Connecticut,2007,182112.0,New England
466,2004,District of Columbia,2007,77913.0,Mideast
467,2004,Delaware,2007,52305.0,Mideast
468,2004,Florida,2007,607284.0,Southeast
469,2004,Georgia,2007,338470.0,Southeast
470,2004,Hawaii,2007,50414.0,Far West
471,2004,Iowa,2007,111937.0,Plains
472,2004,Idaho,2007,42626.0,Rocky Mountain
473,2004,Illinois,2007,534429.0,Great Lakes
474,2004,Indiana,2007,228329.0,Great Lakes
475,2004,Kansas,2007,98426.0,Plains
